name,mrp,our_price,category,subcategory,unit,discount,quantity,unit_price,product_url,sub-category,image,status,stock_count,is_dmart_exclusive,productid,brand,imageurl,isavailable,createdat,updatedat,details,processed_name,predicted_category,predicted_subcategory
Royal Canin Maxi Breed Junior Dry Dog Food (Puppy),₹ 225,₹ 203,,,,,,,,,,,,,,,,,,,50 g,royal canin maxi breed junior dry dog food (puppy),Others,Pet Supplies
"Purina Supercoat Dog Food with Chicken (Adult, 1+ Years)",,"₹ 1,150",,,,,,,,,,,,,,,,,,,50 g,"purina supercoat dog food with chicken (adult, 1+ years)",Others,Pet Supplies
Wilderness Chicken And Milk Puppy Dog Food - Buy 1 Get 1 Free,"₹ 1,390","₹ 1,043",,,,,,,,,,,,,,,,,,,100 ml,wilderness chicken and milk puppy dog food - buy 1 get 1 free,Grocery & Food,Dairy & Eggs
Pedigree Grilled Chicken Liver Dog Food for Adult,,₹ 699,,,,,,,,,,,,,,,,,,,10 ml,pedigree grilled chicken liver dog food for adult,Others,Pet Supplies
"Purina Supercoat Dog Food with Chicken (Puppy, upto 12 months)",₹ 299,₹ 225,,,,,,,,,,,,,,,,,,,150 g,"purina supercoat dog food with chicken (puppy, upto 12 months)",Others,Pet Supplies
Kennel Kitchen Soft Baked Chicken Sticks Dog Treat,₹ 399,₹ 372,,,,,,,,,,,,,,,,,,,200 g,kennel kitchen soft baked chicken sticks dog treat,Home Decor & Furnishing,Furniture
"Royal Canin Pellet Dry Food (Chicken, Medium Puppy)",₹ 650,₹ 507,,,,,,,,,,,,,,,,,,,200 ml,"royal canin pellet dry food (chicken, medium puppy)",Uncategorized,Uncategorized
Sploot Chonky Chimken Dog Food,"₹ 1,199","₹ 1,104",,,,,,,,,,,,,,,,,,,9 kg,sploot chonky chimken dog food,Others,Pet Supplies
Drools Focus Super Premium Dry Dog Food (Puppy),₹ 100,₹ 95,,,,,,,,,,,,,,,,,,,2 x 70 g,drools focus super premium dry dog food (puppy),Others,Pet Supplies
Sploot Meaty Mutton Dog Food,,₹ 50,,,,,,,,,,,,,,,,,,,70 g,sploot meaty mutton dog food,Others,Pet Supplies
Sploot Toppers Chicken & Pumpkin Dog Food,₹ 35,₹ 34,,,,,,,,,,,,,,,,,,,150 g,sploot toppers chicken & pumpkin dog food,Others,Pet Supplies
Chappi Adult Chicken And Rice Dog Food,₹ 799,₹ 760,,,,,,,,,,,,,,,,,,,3 kg + 1.2 kg,chappi adult chicken and rice dog food,Grocery & Food,Pantry Essentials
IAMS Proactive Health German Shephard Dog Food,,₹ 50,,,,,,,,,,,,,,,,,,,,iams proactive health german shephard dog food,Personal Care,Health & Wellness
IAMS Proactive Health Pug Dog Food,₹ 810,₹ 762,,,,,,,,,,,,,,,,,,,,iams proactive health pug dog food,Personal Care,Health & Wellness
Pedigree Pro Expert Nutrition Dog Food (Mother & Pup Starter),₹ 299,₹ 285,,,,,,,,,,,,,,,,,,,1.2 kg,pedigree pro expert nutrition dog food (mother & pup starter),Others,Pet Supplies
Cetaphil Moisturizing Lotion (100 ml),₹ 635,₹ 623,,,,,,,,,,,,,,,,,,,1.2 kg,cetaphil moisturizing lotion (100 ml),Uncategorized,Uncategorized
Vaseline Petroleum Jelly 42 g,₹ 250,₹ 235,,,,,,,,,,,,,,,,,,,,vaseline petroleum jelly 42 g,Uncategorized,Uncategorized
Boroplus Doodh Kesar Body Lotion (400 ml),₹ 50,₹ 49,,,,,,,,,,,,,,,,,,,,boroplus doodh kesar body lotion (400 ml),Uncategorized,Uncategorized
Nivea Body Milk Nourishing Lotion,₹ 400,₹ 376,,,,,,,,,,,,,,,,,,,,nivea body milk nourishing lotion,Grocery & Food,Dairy & Eggs
Cetaphil DAM - Daily Advance Ultra Hydrating Moisturizing Lotion,₹ 199,₹ 180,,,,,,,,,,,,,,,,,,,70 g,cetaphil dam - daily advance ultra hydrating moisturizing lotion,Uncategorized,Uncategorized
Patanjali Coconut Multipurpose Oil,₹ 250,₹ 235,,,,,,,,,,,,,,,,,,,5 x 70 g,patanjali coconut multipurpose oil,Grocery & Food,Pantry Essentials
"Vaseline Intensive Care Deep Moisture Body Lotion (Long Lasting Moisturization For Healthy, Glowing Skin)",₹ 225,₹ 198,,,,,,,,,,,,,,,,,,,200 g,"vaseline intensive care deep moisture body lotion (long lasting moisturization for healthy, glowing skin)",Personal Care,Health & Wellness
Nivea Nourishing Body Lotion,₹ 505,₹ 470,,,,,,,,,,,,,,,,,,,2.8 kg,nivea nourishing body lotion,Uncategorized,Uncategorized
"Vaseline Intensive Care Deep Moisture Body Lotion (Long Lasting Moisturization For Healthy, Glowing Skin - 600 ml)",₹ 799,₹ 760,,,,,,,,,,,,,,,,,,,3 kg + 1.2 kg,"vaseline intensive care deep moisture body lotion (long lasting moisturization for healthy, glowing skin - 600 ml)",Personal Care,Health & Wellness
Nivea Cocoa Nourish Body Lotion,₹ 375,₹ 353,,,,,,,,,,,,,,,,,,,,nivea cocoa nourish body lotion,Uncategorized,Uncategorized
Nivea Nourishing with Almond Oil Moisturizing Lotion (Very Dry Skin),₹ 70,₹ 63,,,,,,,,,,,,,,,,,,,,nivea nourishing with almond oil moisturizing lotion (very dry skin),Grocery & Food,Pantry Essentials
"Vaseline Intensive Care Deep Moisturizing Lotion (Long Lasting Moisturization For Healthy, Glowing Skin)",₹ 50,₹ 49,,,,,,,,,,,,,,,,,,,,"vaseline intensive care deep moisturizing lotion (long lasting moisturization for healthy, glowing skin)",Personal Care,Health & Wellness
Vaseline Intensive Care Cocoa Glow Body Lotion,₹ 840,₹ 672,,,,,,,,,,,,,,,,,,,,vaseline intensive care cocoa glow body lotion,Uncategorized,Uncategorized
Himalaya Cocoa Butter Intensive Body Lotion,₹ 199,₹ 190,,,,,,,,,,,,,,,,,,,,himalaya cocoa butter intensive body lotion,Grocery & Food,Dairy & Eggs
Keo Karpin Ayurvedic Massage Herbal Body Oil 300 ml,₹ 840,₹ 672,,,,,,,,,,,,,,,,,,,,keo karpin ayurvedic massage herbal body oil 300 ml,Grocery & Food,Pantry Essentials
Dabur 100% Natural Cold Pressed Castor Oil,"₹ 1,220","₹ 1,135",,,,,,,,,,,,,,,,,,,3 kg,dabur 100% natural cold pressed castor oil,Grocery & Food,Pantry Essentials
Keo Karpin Ayurvedic Massage Herbal Body Oil,₹ 110,₹ 99,,,,,,,,,,,,,,,,,,,100 ml,keo karpin ayurvedic massage herbal body oil,Grocery & Food,Pantry Essentials
Lakme Peach Milk Moisturizing Lotion,"₹ 1,200","₹ 1,116",,,,,,,,,,,,,,,,,,,3 kg,lakme peach milk moisturizing lotion,Grocery & Food,Dairy & Eggs
Joy Honey & Almonds Advanced Nourishing Body Lotion,₹ 739,₹ 725,,,,,,,,,,,,,,,,,,,2 x 3 kg,joy honey & almonds advanced nourishing body lotion,Uncategorized,Uncategorized
Biotique Morning Nectar Nourish & Hydrate Moisturizing Lotion,₹ 739,₹ 725,,,,,,,,,,,,,,,,,,,2 x 3 kg,biotique morning nectar nourish & hydrate moisturizing lotion,Uncategorized,Uncategorized
Pond's Triple Vitamin Moisturising Body Lotion,₹ 199,₹ 190,,,,,,,,,,,,,,,,,,,1 kg,pond's triple vitamin moisturising body lotion,Uncategorized,Uncategorized
Nivea Smooth Milk Shea Butter Body Lotion,₹ 535,₹ 498,,,,,,,,,,,,,,,,,,,2.8 kg,nivea smooth milk shea butter body lotion,Grocery & Food,Dairy & Eggs
Boroplus Vasocare Herbal Petroleum Jelly,"₹ 1,270","₹ 1,182",,,,,,,,,,,,,,,,,,,3 kg,boroplus vasocare herbal petroleum jelly,Uncategorized,Uncategorized
Vaseline Skin Protecting Petroleum Jelly,₹ 840,₹ 672,,,,,,,,,,,,,,,,,,,1 pack (12 x 100 g),vaseline skin protecting petroleum jelly,Uncategorized,Uncategorized
Parachute Advansed Deep Nourish Body Lotion,,"₹ 3,400",,,,,,,,,,,,,,,,,,,4 kg,parachute advansed deep nourish body lotion,Uncategorized,Uncategorized
Lakme Peach Milk SPF 24 PA++ Moisturizing Lotion,,"₹ 2,950",,,,,,,,,,,,,,,,,,,3 kg,lakme peach milk spf 24 pa++ moisturizing lotion,Grocery & Food,Dairy & Eggs
Biotique Winter Cherry Rejuvenating Body Lotion,"₹ 1,240","₹ 1,154",,,,,,,,,,,,,,,,,,,3 kg,biotique winter cherry rejuvenating body lotion,Uncategorized,Uncategorized
Nivea Cocoa Nourish Moisturizing Lotion,,"₹ 4,100",,,,,,,,,,,,,,,,,,,4 kg,nivea cocoa nourish moisturizing lotion,Uncategorized,Uncategorized
Yardley London English Lavender Moisturizing Body Lotion (For Women),₹ 330,₹ 304,,,,,,,,,,,,,,,,,,,900 g,yardley london english lavender moisturizing body lotion (for women),Fashion & Accessories,Clothing
VLCC Almond Honey Body Lotion - Buy 1 Get 1 Free,,₹ 260,,,,,,,,,,,,,,,,,,,200 g,vlcc almond honey body lotion - buy 1 get 1 free,Uncategorized,Uncategorized
Nivea Smooth Milk Shea Butter Moisturizing Lotion,,₹ 250,,,,,,,,,,,,,,,,,,,200 g,nivea smooth milk shea butter moisturizing lotion,Grocery & Food,Dairy & Eggs
Nivea Rose Water Gel Moisturizing Lotion,,₹ 720,,,,,,,,,,,,,,,,,,,12 x 100 g,nivea rose water gel moisturizing lotion,Uncategorized,Uncategorized
Nivea Aloe Hydration Moisturizing Lotion,₹ 750,₹ 735,,,,,,,,,,,,,,,,,,,1.2 kg,nivea aloe hydration moisturizing lotion,Uncategorized,Uncategorized
Santoor Whitening & UV Protection Body Lotion (250 ml),,₹ 750,,,,,,,,,,,,,,,,,,,1 pack (1360 g),santoor whitening & uv protection body lotion (250 ml),Uncategorized,Uncategorized
Wow Skin Science Himalayan Rose with Lactic Acid Body Lotion (400 ml),,₹ 260,,,,,,,,,,,,,,,,,,,1 pack (4 pieces),wow skin science himalayan rose with lactic acid body lotion (400 ml),Uncategorized,Uncategorized
Santoor Extra Moisturizing Body Lotion (For Dry Skin),,₹ 950,,,,,,,,,,,,,,,,,,,1 kg,santoor extra moisturizing body lotion (for dry skin),Uncategorized,Uncategorized
Vaseline Daily Brightening Moisturizing Lotion,"₹ 2,530","₹ 1,898",,,,,,,,,,,,,,,,,,,,vaseline daily brightening moisturizing lotion,Uncategorized,Uncategorized
Mamaearth 100 % Pure Cold Pressed Castor Oil,₹ 739,₹ 725,,,,,,,,,,,,,,,,,,,2 x 3 kg,mamaearth 100 % pure cold pressed castor oil,Grocery & Food,Pantry Essentials
Parachute Advansed Deep Nourish Body Lotion (400 ml),"₹ 1,500","₹ 1,380",,,,,,,,,,,,,,,,,,,1 carton (30 pack x 70 g),parachute advansed deep nourish body lotion (400 ml),Uncategorized,Uncategorized
Wow Skin Science Coconut Milk with Lactic Acid Body Lotion,"₹ 2,675","₹ 1,605",,,,,,,,,,,,,,,,,,,8 kg,wow skin science coconut milk with lactic acid body lotion,Grocery & Food,Dairy & Eggs
Mamaearth Body Lotion (With Vitamin C & Honey),₹ 199,₹ 180,,,,,,,,,,,,,,,,,,,70 g,mamaearth body lotion (with vitamin c & honey),Uncategorized,Uncategorized
Bajaj Almond Drops Nourishing Body Lotion,,"₹ 3,700",,,,,,,,,,,,,,,,,,,4 kg,bajaj almond drops nourishing body lotion,Uncategorized,Uncategorized
Vaseline Intensive Care Aloe Fresh Moisturizing Lotion,,₹ 250,,,,,,,,,,,,,,,,,,,200 g,vaseline intensive care aloe fresh moisturizing lotion,Uncategorized,Uncategorized
Lotus Herbals Safe Sun Anti Tan Body Lotion,₹ 710,₹ 696,,,,,,,,,,,,,,,,,,,1.2 kg,lotus herbals safe sun anti tan body lotion,Uncategorized,Uncategorized
Wow Skin Science Shea Butter with Lactic Acid Body Lotion (100 ml),,₹ 250,,,,,,,,,,,,,,,,,,,200 g,wow skin science shea butter with lactic acid body lotion (100 ml),Grocery & Food,Dairy & Eggs
Plum BodyLovin' Vanilla Vibes Body Butter (200 g),,₹ 840,,,,,,,,,,,,,,,,,,,12 x 100 g,plum bodylovin' vanilla vibes body butter (200 g),Grocery & Food,Dairy & Eggs
Joy Cocoa Rich Intense Nourishing Body Lotion,₹ 210,₹ 196,,,,,,,,,,,,,,,,,,,1 kg,joy cocoa rich intense nourishing body lotion,Uncategorized,Uncategorized
Cetaphil Moisturizing Lotion (500 ml),,"₹ 1,620",,,,,,,,,,,,,,,,,,,3 kg,cetaphil moisturizing lotion (500 ml),Uncategorized,Uncategorized
Joy Skin Fruits Moisturizing Lotion,,"₹ 1,700",,,,,,,,,,,,,,,,,,,3 kg,joy skin fruits moisturizing lotion,Grocery & Food,Fresh Produce
Nivea Extra Whitening Cell Repair SPF 15 Body Lotion (200 ml),"₹ 1,520","₹ 1,399",,,,,,,,,,,,,,,,,,,3 kg,nivea extra whitening cell repair spf 15 body lotion (200 ml),Uncategorized,Uncategorized
Dove Body Love Supple Bounce Body Lotion (400 ml),₹ 549,₹ 506,,,,,,,,,,,,,,,,,,,100 ml,dove body love supple bounce body lotion (400 ml),Uncategorized,Uncategorized
Vaseline Healthy Bright SPF 30 Multi Vitamin UV Body Lotion,,₹ 85,,,,,,,,,,,,,,,,,,,42 g,vaseline healthy bright spf 30 multi vitamin uv body lotion,Personal Care,Health & Wellness
Vaseline Cocoa Glow Whipped Body Butter,₹ 399,₹ 152,,,,,,,,,,,,,,,,,,,400 ml,vaseline cocoa glow whipped body butter,Grocery & Food,Dairy & Eggs
Mamaearth Ubtan Body Lotion (With Turmeric & Kokum Butter for Glowing Skin),₹ 110,₹ 105,,,,,,,,,,,,,,,,,,,120 ml,mamaearth ubtan body lotion (with turmeric & kokum butter for glowing skin),Grocery & Food,Dairy & Eggs
MCaffeine Deep Moisturizing Choco Body Butter (250 g),₹ 518,₹ 477,,,,,,,,,,,,,,,,,,,100 g,mcaffeine deep moisturizing choco body butter (250 g),Grocery & Food,Dairy & Eggs
Parachute Advansed Soft Touch Body Lotion (400 ml),,₹ 70,,,,,,,,,,,,,,,,,,,200 ml,parachute advansed soft touch body lotion (400 ml),Uncategorized,Uncategorized
Himalaya Aloe & Cucumber Refreshing Body Lotion (400 ml),,₹ 190,,,,,,,,,,,,,,,,,,,200 ml,himalaya aloe & cucumber refreshing body lotion (400 ml),Uncategorized,Uncategorized
Parachute Advansed Cocoa Repair Body Lotion (For Very Dry Skin) - Pack of 2,₹ 625,₹ 351,,,,,,,,,,,,,,,,,,,600 ml,parachute advansed cocoa repair body lotion (for very dry skin) - pack of 2,Uncategorized,Uncategorized
Parachute Advansed Soft Touch Body Lotion,₹ 625,₹ 375,,,,,,,,,,,,,,,,,,,600 ml,parachute advansed soft touch body lotion,Uncategorized,Uncategorized
Joy Pure Aloe Multi Benefit Moisturizing Lotion,₹ 550,₹ 336,,,,,,,,,,,,,,,,,,,400 ml,joy pure aloe multi benefit moisturizing lotion,Uncategorized,Uncategorized
Parachute Advansed All Day Aloe Body Lotion,₹ 460,₹ 327,,,,,,,,,,,,,,,,,,,400 ml,parachute advansed all day aloe body lotion,Uncategorized,Uncategorized
Wow Skin Science Coconut Milk with Lactic Acid Body Lotion (100 ml),,₹ 400,,,,,,,,,,,,,,,,,,,400 ml,wow skin science coconut milk with lactic acid body lotion (100 ml),Grocery & Food,Dairy & Eggs
Everyuth Naturals Nourishing Cocoa Body Lotion (Intense Moisturization With Almond Milk - 200ml),,₹ 475,,,,,,,,,,,,,,,,,,,(400 ml),everyuth naturals nourishing cocoa body lotion (intense moisturization with almond milk - 200ml),Grocery & Food,Dairy & Eggs
Vaseline Light Hydrate Body Lotion,₹ 330,₹ 182,,,,,,,,,,,,,,,,,,,,vaseline light hydrate body lotion,Electronics,Lighting & Electrical
Nivea Fresh And Healthy Gel Body Lotion (Aloe Vera),₹ 160,₹ 144,,,,,,,,,,,,,,,,,,,300 ml,nivea fresh and healthy gel body lotion (aloe vera),Personal Care,Health & Wellness
Mamaearth Vitamin C Body Lotion (200 ml),₹ 299,₹ 240,,,,,,,,,,,,,,,,,,,200 ml,mamaearth vitamin c body lotion (200 ml),Uncategorized,Uncategorized
Parachute Advansed All Day Aloe Body Lotion (400 ml),₹ 70,₹ 63,,,,,,,,,,,,,,,,,,,100 ml,parachute advansed all day aloe body lotion (400 ml),Uncategorized,Uncategorized
Everyuth Naturals Rejuvenating Flora Body Lotion (Daily Moisturization With Almond Milk -200ml),,₹ 435,,,,,,,,,,,,,,,,,,,200 ml,everyuth naturals rejuvenating flora body lotion (daily moisturization with almond milk -200ml),Grocery & Food,Dairy & Eggs
Gulabari Rose Glow Body Lotion,₹ 270,₹ 134,,,,,,,,,,,,,,,,,,,300 ml,gulabari rose glow body lotion,Uncategorized,Uncategorized
Everyuth Naturals Nourishing Cocoa Body Lotion (Intense Moisturization With Almond Milk - 500 ml),₹ 330,₹ 165,,,,,,,,,,,,,,,,,,,190 ml,everyuth naturals nourishing cocoa body lotion (intense moisturization with almond milk - 500 ml),Grocery & Food,Dairy & Eggs
Mamaearth Ubtan Body Lotion (200 ml),,₹ 360,,,,,,,,,,,,,,,,,,,275 ml,mamaearth ubtan body lotion (200 ml),Uncategorized,Uncategorized
Yardley London- English Lavender Body Lotion (For Women) - Pack of 2,₹ 759,₹ 418,,,,,,,,,,,,,,,,,,,600 ml,yardley london- english lavender body lotion (for women) - pack of 2,Fashion & Accessories,Clothing
Nivea Aloe Protection SPF 15 Body Lotion (200 ml),₹ 90,₹ 77,,,,,,,,,,,,,,,,,,,50 ml,nivea aloe protection spf 15 body lotion (200 ml),Uncategorized,Uncategorized
The Moms Co. Natural Anti Stretch Mark Massage Oil,,₹ 415,,,,,,,,,,,,,,,,,,,200 g,the moms co. natural anti stretch mark massage oil,Grocery & Food,Pantry Essentials
Biotique Morning Nectar Moisturizer - Pack of 2,₹ 255,₹ 143,,,,,,,,,,,,,,,,,,,,biotique morning nectar moisturizer - pack of 2,Uncategorized,Uncategorized
MCaffeine Deep Moisturizing Choco Body Butter (250 g) + MCaffeine Naked & Raw Coffee Body Scrub Combo,,₹ 299,,,,,,,,,,,,,,,,,,,120 ml,mcaffeine deep moisturizing choco body butter (250 g) + mcaffeine naked & raw coffee body scrub combo,Grocery & Food,Dairy & Eggs
Nivea Nourishing Body Milk (Very Dry Skin) - Pack of 2,₹ 210,₹ 141,,,,,,,,,,,,,,,,,,,190 ml,nivea nourishing body milk (very dry skin) - pack of 2,Grocery & Food,Dairy & Eggs
Santoor Germ Shield Body Lotion (For All Skin Types),₹ 330,₹ 215,,,,,,,,,,,,,,,,,,,200 ml,santoor germ shield body lotion (for all skin types),Uncategorized,Uncategorized
Enchanteur Romantic Perfumed Body Lotion (with Aloe Vera & Olive Butter),₹ 459,₹ 204,,,,,,,,,,,,,,,,,,,350 ml + 50 ml,enchanteur romantic perfumed body lotion (with aloe vera & olive butter),Grocery & Food,Dairy & Eggs
Nivea Fresh And Healthy Gel Body Lotion (Rose Water),₹ 350,₹ 294,,,,,,,,,,,,,,,,,,,2 x 350 ml,nivea fresh and healthy gel body lotion (rose water),Personal Care,Health & Wellness
Boroplus Aloe Vera Gel - Pack of 2,₹ 500,₹ 380,,,,,,,,,,,,,,,,,,,400 ml,boroplus aloe vera gel - pack of 2,Uncategorized,Uncategorized
MCaffeine Deep Moisturizing Choco Body Butter - Pack of 2,₹ 149,₹ 142,,,,,,,,,,,,,,,,,,,75 ml,mcaffeine deep moisturizing choco body butter - pack of 2,Grocery & Food,Dairy & Eggs
Himalaya Aloe & Cucumber Refreshing Body Lotion - Pack of 2,₹ 469,₹ 418,,,,,,,,,,,,,,,,,,,400 ml,himalaya aloe & cucumber refreshing body lotion - pack of 2,Uncategorized,Uncategorized
"Mamaearth Cold Pressed For Skin, Hair & Nails Castor Oil - Pack of 2",₹ 250,₹ 128,,,,,,,,,,,,,,,,,,,250 ml,"mamaearth cold pressed for skin, hair & nails castor oil - pack of 2",Personal Care,Beauty & Grooming
Mamaearth Ubtan Body Lotion - Pack of 2,₹ 449,₹ 180,,,,,,,,,,,,,,,,,,,400 ml,mamaearth ubtan body lotion - pack of 2,Uncategorized,Uncategorized
Mamaearth Vitamin C Body Lotion - Pack of 2,₹ 250,₹ 128,,,,,,,,,,,,,,,,,,,250 ml,mamaearth vitamin c body lotion - pack of 2,Uncategorized,Uncategorized
Bio-Oil Skin Care Body Oil,,₹ 475,,,,,,,,,,,,,,,,,,,400 ml,bio-oil skin care body oil,Grocery & Food,Pantry Essentials
Organic Harvest Extra Virgin Organic Coconut Oil,₹ 299,₹ 285,,,,,,,,,,,,,,,,,,,150 ml,organic harvest extra virgin organic coconut oil,Grocery & Food,Fresh Produce
Mamaearth Mineral Based Baby Sunscreen,₹ 385,₹ 196,,,,,,,,,,,,,,,,,,,,mamaearth mineral based baby sunscreen,Uncategorized,Uncategorized
Soulflower Tea Tree Essential Oil,₹ 449,₹ 149,,,,,,,,,,,,,,,,,,,400 ml,soulflower tea tree essential oil,Grocery & Food,Snacks & Beverages
Soulflower Lavender Essential Oil,₹ 449,₹ 292,,,,,,,,,,,,,,,,,,,400 ml,soulflower lavender essential oil,Grocery & Food,Pantry Essentials
The Face Shop Rice & Ceramide Moisturizing Cream,₹ 550,₹ 233,,,,,,,,,,,,,,,,,,,600 ml,the face shop rice & ceramide moisturizing cream,Grocery & Food,Pantry Essentials
Citronella Essential Oil (Citrus) by Phool,,₹ 475,,,,,,,,,,,,,,,,,,,400 ml,citronella essential oil (citrus) by phool,Grocery & Food,Pantry Essentials
Fixderma 15% Glycolic Acid AHA Lotion,₹ 290,₹ 264,,,,,,,,,,,,,,,,,,,250 ml,fixderma 15% glycolic acid aha lotion,Uncategorized,Uncategorized
RAS Luxury Oils Refresh Glycolic Acid Body Lotion,₹ 175,₹ 97,,,,,,,,,,,,,,,,,,,100 ml,ras luxury oils refresh glycolic acid body lotion,Grocery & Food,Pantry Essentials
Cetaphil Daily Advance Ultra Hydrating Moisturizing Lotion,₹ 525,₹ 473,,,,,,,,,,,,,,,,,,,200 g,cetaphil daily advance ultra hydrating moisturizing lotion,Uncategorized,Uncategorized
Vaseline Cocoa Glow Body Lotion,₹ 375,₹ 180,,,,,,,,,,,,,,,,,,,400 ml,vaseline cocoa glow body lotion,Uncategorized,Uncategorized
Wow Skin Science Shea Butter with Lactic Acid Body Lotion,"₹ 1,599","₹ 1,520",,,,,,,,,,,,,,,,,,,500 ml,wow skin science shea butter with lactic acid body lotion,Grocery & Food,Dairy & Eggs
Himalaya Rich Cocoa Butter Body Cream,₹ 270,₹ 135,,,,,,,,,,,,,,,,,,,300 ml,himalaya rich cocoa butter body cream,Grocery & Food,Dairy & Eggs
Mamaearth Honey Malai Body Lotion,₹ 330,₹ 314,,,,,,,,,,,,,,,,,,,200 ml,mamaearth honey malai body lotion,Uncategorized,Uncategorized
Biotique Creamy Coconut Deep Nourish Body Lotion,₹ 465,₹ 401,,,,,,,,,,,,,,,,,,,400 ml,biotique creamy coconut deep nourish body lotion,Grocery & Food,Dairy & Eggs
Plum BodyLovin' Vanilla Vibes Body Oil,,₹ 490,,,,,,,,,,,,,,,,,,,400 ml,plum bodylovin' vanilla vibes body oil,Grocery & Food,Pantry Essentials
Plum BodyLovin' Vanilla Vibes Body Oil (100 ml),,₹ 499,,,,,,,,,,,,,,,,,,,180 g,plum bodylovin' vanilla vibes body oil (100 ml),Grocery & Food,Pantry Essentials
Joy Intense Moisture Dryness Repair Body Lotion,₹ 449,₹ 292,,,,,,,,,,,,,,,,,,,400 ml,joy intense moisture dryness repair body lotion,Uncategorized,Uncategorized
Pond's Juliet Rose Moisturising Body Lotion,₹ 645,₹ 600,,,,,,,,,,,,,,,,,,,250 g,pond's juliet rose moisturising body lotion,Uncategorized,Uncategorized
Himalaya Nourishing Body Lotion,₹ 385,₹ 137,,,,,,,,,,,,,,,,,,,,himalaya nourishing body lotion,Uncategorized,Uncategorized
Yardley London- English Rose Moisturising Body Lotion (For Women),₹ 340,₹ 279,,,,,,,,,,,,,,,,,,,400 ml,yardley london- english rose moisturising body lotion (for women),Fashion & Accessories,Clothing
Plum BodyLovin' Vanilla Caramello Body Lotion,₹ 870,₹ 296,,,,,,,,,,,,,,,,,,,,plum bodylovin' vanilla caramello body lotion,Uncategorized,Uncategorized
